routeId,stopSequence,stopId,distanceToNextStop
102,0,35,173
102,1,7276,326
102,2,7277,221
102,3,7278,588
102,4,7264,136
102,5,4223,404
102,6,1944,581
102,7,1297,233
102,8,3478,557
102,9,1296,250
102,10,3477,242
102,11,1299,513
102,12,1298,203
102,13,2711,80
102,14,2709,514
102,15,2712,378
102,16,1300,396
102,17,906,282
102,18,907,219
102,19,910,430
102,20,909,277
102,21,908,265
102,22,510,191
102,23,603,285
102,24,606,109
102,25,1719,202
102,26,1720,228
102,27,1301,408
102,28,2713,426
102,29,2200,400
102,30,2205,445
102,31,1302,171
102,32,2202,215
102,33,268,482
102,34,267,712
102,35,270,477
102,36,271,696
102,37,272,230
102,38,273,811
102,39,275,453
102,40,277,997
102,41,1115,68
102,42,1239,162
102,43,166,0
104,0,278,276
104,1,464,490
104,2,470,276
104,3,437,442
104,4,439,167
104,5,440,523
104,6,1981,142
104,7,3166,319
104,8,3519,237
104,9,3521,489
104,10,3523,277
104,11,3524,138
104,12,3079,316
104,13,3078,719
104,14,1438,368
104,15,1436,664
104,16,1437,245
104,17,1439,383
104,18,1441,368
104,19,1440,310
104,20,1447,67
104,21,1442,265
104,22,1448,325
104,23,1443,387
104,24,1201,331
104,25,1199,746
104,26,1202,351
104,27,1200,224
104,28,1204,439
104,29,835,512
104,30,7070,497
104,31,1257,767
104,32,3526,571
104,33,1260,505
104,34,1371,1045
104,35,3525,550
104,36,3527,319
104,37,2189,301
104,38,2185,276
104,39,2187,489
104,40,2190,273
104,41,2188,170
104,42,1999,557
104,43,2118,235
104,44,7304,0
105,0,35,173
105,1,7276,326
105,2,7277,221
105,3,7278,89
105,4,120,74
105,5,3080,320
105,6,84,407
105,7,1297,233
105,8,3478,286
105,9,1882,370
105,10,1889,382
105,11,1884,215
105,12,1890,179
105,13,1885,135
105,14,1413,278
105,15,1416,290
105,16,1411,362
105,17,1412,434
105,18,3301,335
105,19,3302,334
105,20,3303,133
105,21,1007,308
105,22,1013,320
105,23,1008,266
105,24,2855,386
105,25,2852,481
105,26,3480,385
105,27,3479,476
105,28,1020,219
105,29,1029,246
105,30,1616,264
105,31,1604,271
105,32,1617,198
105,33,1619,219
105,34,2583,300
105,35,4292,250
105,36,4317,388
105,37,4318,406
105,38,4319,226
105,39,4320,192
105,40,4277,279
105,41,4278,566
105,42,4279,194
105,43,4280,336
105,44,3481,329
105,45,2584,84
105,46,2591,229
105,47,2586,287
105,48,2593,326
105,49,3483,370
105,50,1967,333
105,51,1970,251
105,52,1973,215
105,53,2592,248
105,54,2597,364
105,55,2594,279
105,56,2596,340
105,57,2598,140
105,58,2600,440
105,59,2602,361
105,60,2000,356
