stopId,stopName,lat,lng
7089,Đường Đê N1,10.587964,106.850222
7092,Thuận Yến,10.588154,106.837851
6884,Đê An Hòa,10.587806,106.845024
6869,Đê An Hòa,10.587632,106.845195
7090,Đê N1,10.587785,106.849819
7091,Thuận Yến,10.588349,106.838012
7093,Tam Thôn Hiệp,10.587505,106.834112
6870,Trường Tam Thôn Hiệp,10.587964,106.854519
7088,Nguyễn Công Bao,10.595847,106.857056
6885,Trường An Nghĩa,10.588961,106.830626
7086,Nguyễn Công Bao 2,10.598304,106.859556
7084,Tam Thôn Hiệp,10.601874,106.860108
6887,An Thới Đông,10.576326,106.824199
7095,An Thới Đông,10.576205,106.817231
6872,Đình xã Tam Thôn Hiệp,10.607996,106.859014
6888,Trường THCS An Thới Đông,10.583208,106.805778
6873,Nhà văn hóa Ấp Trần Hưng Đạo,10.618019,106.855913
7097,An Thới Đông,10.586931,106.803868
7082,Cống Hưng Đạo,10.619042,106.852807
6874,Cầu Tắc Tây Đen,10.618219,106.847556
7099,An Thới Đông,10.590442,106.801395
6889,Trường tiểu học An Thới Đông,10.590954,106.793289
6875,Bà Xán,10.619511,106.842368
7080,Đội 5,10.620445,106.835598
6876,Nghĩa trang Bình Khánh,10.618219,106.825604
4086,Chợ Thạnh Mỹ Lợi,10.770601,106.770614
7118,Trường Tiểu học Lương Thế Vinh,10.772867,106.758528
7640,KTX Khu B ĐHQG,10.883487,106.778483
4091,Chợ Nam Hòa,10.826103,106.762352
4088,Đường 122,10.825756,106.765957
4093,Trường mầm non thỏ ngọc,10.824644,106.768253
4090,Ngã 3 Đỗ Xuân Hợp,10.827215,106.769836
4092,Đường 61,10.828667,106.772736
4095,Trường cao đẳng Công Thương,10.830419,106.774632
4113,Trạm Y tế phường Tân Phú,10.859897,106.799753
4105,Trường THCS Tân Phú,10.858116,106.801051
4094,Dệt Phong Phú,10.832623,106.777649
4097,92 Tăng Nhơn Phú,10.833408,106.779678
4117,Trạm đầu Nam Cao,10.85595,106.802784
4106,Trạm cuối đường Cầu Xây,10.853559,106.806411
4096,chùa kim linh,10.834934,106.781927
3272,UBND phường Tăng Nhơn Phú B,10.835793,106.782453
4118,Đường số 100,10.854539,106.809774
4107,Hoa cảnh Sài Gòn,10.855698,106.812671
3275,Trung tâm GDTX Quận 9,10.840042,106.780853
3274,Cổng Đình,10.843785,106.781273
3191,Cổng Đình,10.843428,106.781128
4100,Hoa cảnh Sài Gòn,10.855898,106.812729
3192,Trung tâm GDTX Quận 9,10.839918,106.780372
4103,Đường số 100,10.854475,106.809238
4120,Chùa Kim Linh,10.834607,106.781557
4101,Trạm cuối đường Cầu Xây,10.8536376953125,106.805847167969
4109,Dệt Phong Phú,10.832542,106.777382
4111,Trạm đầu Nam Cao,10.85574,106.8032
4121,Trường cao đẳng Công Thương,10.830182,106.77417
4102,Trường THCS Tân Phú,10.858384,106.801071
4110,Đường 61,10.828464,106.772422
4104,Trạm Y tế phường Tân Phú,10.860397,106.799408
4122,Ngã 3 Đỗ Xuân Hợp,10.827326,106.769203
4123,Trường mầm non thỏ ngọc,10.824839,106.768044
4116,Đường 122,10.825819,106.76621
4115,Chợ Nam Hòa,10.826193,106.762664
7119,Trường Tiểu học Lương Thế Vinh,10.772619,106.758592
7694,Bến xe khách Tân Trụ,10.521948,106.519682
7180,Paris Baguette,10.730778,106.706611
7189,Cressent mall,10.728913,106.719781
7182,Nguyễn Văn Linh,10.729471,106.708499
7183,Phạm Thái Bường,10.7273,106.709508
7184,Công viên Mỹ Kim,10.724327,106.712222
7185,Cửa hàng Chuồn chuồn đỏ,10.721908,106.713188
7186,Sen Vàng,10.72332,106.715569
7206,Đường N,10.723579,106.716363
7181,Đường số 6,10.729882,106.706804
6942,Bến xe Chợ Lớn,10.751154,106.651293
7190,Ủy ban Tân Phú,10.73236,106.725676
7201,Đại Minh,10.730157,106.722007
7191,Ban Quản lý Khu Nam,10.729714,106.726878
7193,Nhà mẫu Phú Mỹ Hưng,10.7274,106.726475
7205,Đường B,10.730784,106.724818
7202,Petro land,10.729055,106.723444
7196,Đường 19,10.718545,106.726953
7197,Đường G,10.716431,106.72765
7198,Trường Quốc tế Canada,10.714697,106.729721
7199,Đường 20,10.718651,106.729812
7200,Phổ Niểu Nam,10.72215,106.729635
7195,Đường số 17,10.721665,106.72728
7203,Petro land,10.729018,106.723621
7194,Nhà mẫu Phú Mỹ Hưng,10.727358,106.726636
7204,Đường B,10.73072,106.725006
7192,Ban Quản lý Khu Nam,10.729624,106.727082
7280,Bến xe Phú Túc,11.09212,107.217992
7595,BẾN XE VŨNG TÀU,10.350457,107.086723
7614,Công xã Paris,10.779464,106.699787
7616,Dinh Độc Lập,10.778405,106.696499
4261,Lê Lợi,10.775127,106.702883
48319,Ga tàu thủy Linh Đông,10.8355131,106.7458857
48316,Ga Tàu Thủy Bạch Đằng,10.7752716142484,106.706918777246
48317,Ga tàu thủy Bình An,10.7972792485954,106.728888593883
48318,Ga tàu thủy Thanh Đa,10.8192475122934,106.716587759525
48653,Cảng vụ ĐTNĐ BR-VT,10.3865742247632,107.062267662349
48652,Bến đò Tắc Suất,10.4204117966654,106.959264996575
7259,Khu dân cư Nam Long,10.6621,106.464842
7783,Phân khu Masteri,10.843262,106.84137
7784,Tòa nhà S6.01,10.842962,106.838833
7785,Tòa nhà S5.03,10.840912,106.837897
7786,Tòa nhà S3.03,10.838327,106.835002
7787,Tòa nhà S2.05,10.837612,106.833042
7788,Tòa nhà S2.01,10.837241,106.832135
7804,Trung tâm Quản lý điều hành giao thông đô thị,10.77113,106.717788
7789,Tòa nhà S1.01,10.836804,106.830621
4452,Khu đô thị Sala,10.773235,106.723509
7816,Chung cư NEWCITY,10.779952,106.736406
7802,Diamond Island,10.777114,106.746613
4259,Cao đẳng Cảnh sát nhân dân 2,10.842463,106.820444
7782,UBND Thành phố Thủ Đức,10.77753,106.75676
7814,Đường Đồng Văn Cống,10.789642,106.751516
4132,Trạm y tế Phường Long Thạnh Mỹ,10.846646,106.816571
7809,Vòng xoay Liên Phường,10.807252,106.787593
7774,Saigon Hi-tech Park,10.84008,106.81246
7780,Công ty Transimex,10.82174,106.79342
7776,Trường ĐH Nguyễn Tất Thành,10.83685,106.80926
7778,Công ty Platel Vina,10.830773,106.804883
7812,Công ty NEWHANAM,10.824642,106.797409
7779,Công ty Mekophar,10.830429,106.805019
7811,Công ty SAMSUNG,10.82469,106.796844
7808,Vòng xoay Liên Phường,10.806922,106.788604
7777,Trường ĐH Nguyễn Tất Thành,10.83717,106.80994
7810,Trường CĐ Sư phạm Trung ương 2 (CS2),10.806888,106.783458
7775,Saigon Hi-tech Park,10.840220451355,106.812728881836
7813,Đường Đồng Văn Cống,10.789643,106.750784
3371,Ngã 3 Mỹ Thành,10.849249,106.814302
7580,Trạm y tế Phường Long Thạnh Mỹ,10.846404,106.816463
7781,Tòa nhà Somerset,10.7777652740479,106.756439208984
7801,Diamond Island,10.777515,106.746522
7815,Chung cư NEWCITY,10.780682,106.736367
4258,Cao đẳng Cảnh sát nhân dân 2,10.842589,106.819865
3989,Khu đô thị Sala,10.773183,106.721642
7805,Trung tâm Quản lý điều hành giao thông đô thị,10.7718,106.71777
2888,Chợ Dân Sinh,10.766237,106.699466
7790,Tòa nhà S1.01,10.836589,106.830558
7567,Sở Giao dịch chứng khoáng,10.76873,106.701504
7791,Tòa nhà S2.05,10.837446,106.833024
7792,Tòa nhà S3.03,10.838155,106.834957
7793,Tòa nhà S5.01,10.83971,106.837545
7794,Tòa nhà S6.06,10.844068,106.83897
7795,Phân khu Masteri,10.843246,106.841019
7697,Nhà hát Thành phố,10.776909,106.702926
