routeId,busNumber,routename,fee,activeStartTime,activeStopTime,busStopSpacing(time of trip)
46,25,Bến Xe buýt Quận 8 - Khu dân cư Vĩnh Lộc A,6000,05:00,19:00,60
45,24,Bến Xe Miền Đông - Hóc Môn,7000,04:00,20:30,75
49,28,Bến xe buýt Sài Gòn - Chợ Xuân Thới Thượng,7000,05:00,19:00,75-80
48,27,Bến xe buýt Sài Gòn - Âu Cơ - Bến xe An Sương,6000,05:00,20:00,50-60
51,30,Chợ Tân Hương - Đại học Quốc tế,7000,05:00,19:00,80-90
54,33,Bến Xe An Sương - Suối Tiên - Đại học Quốc Gia,7000,04:30,21:00,55
52,31,Đại Học Tôn Đức Thắng - Bến Thành - Đại Học Văn Lang,6000,05:00,19:00,70-80
53,32,Bến Xe Miền Tây - Bến Xe Ngã Tư Ga,7000,04:00,19:30,80
55,34,Bến xe buýt Sài Gòn - Bến xe buýt Quận 8,6000,05:30,19:00,60
57,36,Bến Thành - Thới An,6000,05:00,20:00,65-70
60,39,Bến Xe Buýt Sài Gòn - Võ Văn Kiệt - Bến Xe Miền Tây,6000,05:30,19:30,55
59,38,Khu dân cư Tân Quy - Bến Thành - Đầm Sen,6000,05:15,19:00,60-65
64,43,Bến xe Miền Đông - Phà Cát Lái,6000,05:00,19:00,50
62,41,Bến xe Miền Tây - Ngã tư Bốn xã - Bến xe An Sương,6000,05:00,19:00,60
68,47,Bến xe buýt Chợ Lớn - Quốc lộ 50 - Hưng Long,6000,05:10,18:50,50
67,46,Công viên Tôn Thất Thuyết - Bến Mễ Cốc,6000,05:00,18:45,65
69,48,Bến xe buýt Tân Phú - Chợ Hiệp Thành,6000,05:00,19:45,55
65,44,Cảng Quận 4 - Bình Quới,6000,05:15,19:30,60
66,45,Bến xe buýt Quận 8 - Bến Thành - Bến xe Miền Đông,6000,04:45,20:00,70-80
70,50,Đại học Bách khoa - Đại học Quốc gia,7000,05:30,18:30,65
75,55,Công viên phần mềm Quang Trung - Bến xe Miền Đông mới,7000,05:00,19:00,75-90
